end_in,length,min_required,reason,start_in,track_id
,1,6,min_track_length,,223
,1,6,min_track_length,,224
False,,,require_start_or_end_in_valid_region,False,225
,2,6,min_track_length,,226
False,,,require_start_or_end_in_valid_region,False,227
,1,6,min_track_length,,228
,2,6,min_track_length,,229
,4,6,min_track_length,,230
,1,6,min_track_length,,231
,1,6,min_track_length,,232
,1,6,min_track_length,,233
,1,6,min_track_length,,234
,1,6,min_track_length,,235
,1,6,min_track_length,,236
,1,6,min_track_length,,237
,1,6,min_track_length,,238
False,,,require_start_or_end_in_valid_region,False,239
,1,6,min_track_length,,240
,1,6,min_track_length,,242
,2,6,min_track_length,,243
,1,6,min_track_length,,244
,1,6,min_track_length,,245
,1,6,min_track_length,,246
,1,6,min_track_length,,247
,1,6,min_track_length,,248
,1,6,min_track_length,,249
,1,6,min_track_length,,250
,2,6,min_track_length,,251
,1,6,min_track_length,,252
,1,6,min_track_length,,253
,5,6,min_track_length,,254
,4,6,min_track_length,,255
,4,6,min_track_length,,256
,1,6,min_track_length,,257
,1,6,min_track_length,,258
,1,6,min_track_length,,259
,1,6,min_track_length,,260
,1,6,min_track_length,,261
,1,6,min_track_length,,262
,1,6,min_track_length,,263
,2,6,min_track_length,,264
,1,6,min_track_length,,265
,1,6,min_track_length,,266
,1,6,min_track_length,,267
,1,6,min_track_length,,268
,1,6,min_track_length,,269
,2,6,min_track_length,,270
,1,6,min_track_length,,271
,1,6,min_track_length,,272
,1,6,min_track_length,,273
,1,6,min_track_length,,274
,1,6,min_track_length,,275
,1,6,min_track_length,,276
,1,6,min_track_length,,277
,1,6,min_track_length,,278
,1,6,min_track_length,,279
,1,6,min_track_length,,280
,1,6,min_track_length,,281
,1,6,min_track_length,,282
,2,6,min_track_length,,283
,1,6,min_track_length,,284
,1,6,min_track_length,,285
,5,6,min_track_length,,286
,3,6,min_track_length,,287
,2,6,min_track_length,,289
,1,6,min_track_length,,290
,1,6,min_track_length,,291
,1,6,min_track_length,,292
,1,6,min_track_length,,293
,1,6,min_track_length,,294
,1,6,min_track_length,,295
,2,6,min_track_length,,296
,2,6,min_track_length,,297
,1,6,min_track_length,,299
,1,6,min_track_length,,300
,1,6,min_track_length,,301
,1,6,min_track_length,,302
,1,6,min_track_length,,303
,1,6,min_track_length,,304
,1,6,min_track_length,,305
,1,6,min_track_length,,306
,1,6,min_track_length,,307
,1,6,min_track_length,,308
,2,6,min_track_length,,309
