any_sample_inside_raw,direction_as_events_csv,direction_endpoint_rule,displacement_px,end_in_valid_dilated,end_in_valid_raw,final_gate_fail_reason,frame_end,frame_span,frame_start,internal_gap_frames,is_exit_as_events_csv,not_exit_reason_primary,num_detections,overlay_category,passed_post_filter_pre_merge,path_length_px,relaxed_exit_outward,start_in_valid_dilated,start_in_valid_raw,track_id,x_end,x_start,y_end,y_start
False,outside,outside,0.0,False,False,min_track_length,590,1,590,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,31,361.5,361.5,757.0,757.0
False,outside,outside,94.63,False,False,min_track_length,702,10,693,8,False,strict_endpoints_both_outside_never_inside_mask,2,no_exit_length_or_shape,False,94.63,False,False,False,32,328.0,421.0,590.0,572.5
False,outside,outside,0.0,False,False,min_track_length,697,1,697,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,33,1051.5,1051.5,133.5,133.5
False,outside,outside,0.0,False,False,min_track_length,702,1,702,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,34,288.0,288.0,659.5,659.5
False,outside,outside,0.0,False,False,min_track_length,729,1,729,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,35,374.0,374.0,762.5,762.5
False,outside,outside,0.0,False,False,min_track_length,847,1,847,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,36,354.0,354.0,754.0,754.0
False,outside,outside,0.0,False,False,min_track_length,849,1,849,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,37,414.0,414.0,471.0,471.0
False,outside,outside,0.0,True,False,min_track_length,865,1,865,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,True,False,38,483.5,483.5,763.5,763.5
False,outside,outside,0.0,True,False,min_track_length,925,1,925,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,True,False,39,511.5,511.5,764.0,764.0
False,outside,outside,0.0,False,False,min_track_length,958,1,958,0,False,strict_endpoints_both_outside_never_inside_mask,1,no_exit_length_or_shape,False,0.0,False,False,False,40,1414.5,1414.5,758.5,758.5
