video_id,track_id,time_start_sec,time_end_sec,duration_sec,frame_start,frame_end,num_detections,x_start,y_start,x_end,y_end,displacement_px,path_length_px,straightness,mean_speed_px_sec,mean_area,start_in_valid_region,end_in_valid_region,direction
retallat,46,125.8333,126.2,0.3667,3775,3786,11,700.5,660.0,1123.0,118.0,687.22,748.66,0.9179,2041.8,1292.36,True,False,exits
retallat,83,130.1667,130.5,0.3333,3905,3915,11,1002.0,554.5,733.0,657.0,287.87,327.29,0.8795,981.88,479.64,False,True,enters
retallat,88,157.1667,157.4667,0.3,4715,4724,10,1134.0,21.5,751.0,626.0,715.62,783.44,0.9134,2611.47,916.05,False,True,enters
retallat,106,158.5333,158.7,0.1667,4756,4761,6,938.5,600.5,741.0,662.0,206.85,210.75,0.9815,1264.51,182.33,False,True,enters
