video_id,track_id,frame,time_sec,x,y,vx,vy,bbox_x1,bbox_y1,bbox_x2,bbox_y2,area
retallat,26,3776,125.86666666666666,745.5,658.5,0.0,0.0,739,653,752,664,81.5
retallat,26,3777,125.9,786.0,650.0,729.0,-153.0,775,642,797,658,230.0
retallat,26,3778,125.93333333333334,830.0,639.0,1083.6,-259.2,820,627,840,651,240.0
retallat,26,3779,125.96666666666667,874.5,606.5,1234.44,-688.6800000000001,860,587,889,626,405.5
retallat,26,3780,126.0,908.0,596.0,1096.776,-464.47200000000004,896,578,920,614,389.5
retallat,26,3781,126.03333333333333,940.0,544.5,1014.7104,-1112.7888,932,535,948,554,101.5
retallat,26,3782,126.06666666666666,968.5,481.0,918.8841600000001,-1588.11552,947,433,990,529,1950.0
retallat,26,3783,126.1,1037.5,475.0,1609.553664,-743.246208,990,426,1085,524,2493.0
retallat,26,3784,126.13333333333334,1038.0,370.5,652.8214656,-2178.2984832,1033,363,1043,378,85.0
retallat,26,3785,126.16666666666667,1072.0,274.5,873.12858624,-2599.31939328,1045,233,1099,316,2159.0
retallat,26,3786,126.2,1120.5,118.5,1222.251434496,-3847.727757312,1075,55,1166,182,5747.0
retallat,51,3905,130.16666666666666,1004.0,469.0,0.0,0.0,998,462,1010,476,101.5
retallat,51,3907,130.23333333333332,966.0,574.5,-342.0,949.5,956,546,976,603,468.5
retallat,51,3908,130.26666666666668,940.0,617.0,-604.8,1144.8,932,609,948,625,176.5
retallat,51,3909,130.3,880.5,656.0,-1312.92,1159.92,856,642,905,670,610.5
retallat,51,3910,130.33333333333334,861.0,670.0,-876.168,715.9680000000001,846,661,876,679,265.5
retallat,51,3911,130.36666666666667,832.5,666.5,-863.4672,223.38720000000006,825,661,840,672,94.0
retallat,51,3912,130.4,794.5,659.0,-1029.38688,-45.64511999999996,787,653,802,665,115.0
retallat,51,3913,130.43333333333334,768.5,661.0,-879.754752,17.741952000000015,762,656,775,666,78.5
retallat,51,3915,130.5,731.0,657.0,-654.21171072,-29.612897279999995,727,653,735,661,33.0
retallat,56,4718,157.26666666666668,1032.5,399.0,0.0,0.0,996,356,1069,442,2038.0
retallat,56,4719,157.3,965.0,453.5,-1215.0,981.0,930,419,1000,488,2733.5
retallat,56,4720,157.33333333333334,931.5,534.5,-1089.0,1850.4,923,529,940,540,120.5
retallat,56,4721,157.36666666666667,884.5,571.0,-1281.6,1397.16,874,551,895,591,415.0
retallat,56,4722,157.4,850.0,609.0,-1133.6399999999999,1242.864,843,603,857,615,83.0
retallat,56,4723,157.43333333333334,792.0,619.0,-1497.456,677.1456000000001,784,613,800,625,122.0
retallat,75,7053,235.1,830.0,751.5,0.0,0.0,827,747,833,756,32.5
retallat,75,7054,235.13333333333333,827.5,739.0,-45.0,-225.0,823,734,832,744,57.0
retallat,75,7055,235.16666666666666,825.5,727.5,-54.0,-297.0,822,722,829,733,43.0
retallat,75,7056,235.2,823.5,718.5,-57.6,-280.8,820,714,827,723,36.5
retallat,75,7058,235.26666666666668,812.0,712.0,-124.236,-159.58800000000002,809,708,815,716,28.5
retallat,75,7061,235.36666666666667,794.0,701.0,-148.252464,-117.706512,790,698,798,704,26.0
retallat,75,7066,235.53333333333333,752.0,670.0,-190.10737665215999,-142.49089700928,748,666,756,674,39.0
