case,mode,tracks,detections,events_total,exits,enters,outside,inside,dilate_px,diff_threshold,min_area,max_missed,max_distance
case_03,manual,18,208,18,10,1,0,7,,12,8,10,120.0
case_03,autotune,16,189,16,9,0,0,7,31,17,8,12,114.0
