area_px
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.0
0.5
0.5
0.5
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.0
1.5
1.5
1.5
1.5
1.5
1.5
1.5
1.5
1.5
1.5
2.0
2.5
2.5
3.0
3.5
3.5
3.5
3.5
4.0
4.0
4.0
4.0
4.5
4.5
4.5
5.0
5.0
5.0
5.0
5.0
5.0
5.5
5.5
5.5
5.5
5.5
5.5
6.0
6.0
6.0
6.5
7.0
7.5
8.0
8.0
9.0
9.5
10.5
10.5
10.5
10.5
11.0
11.5
12.5
14.0
14.0
14.0
14.5
16.0
16.0
16.5
17.0
17.0
17.0
17.5
17.5
18.0
18.0
19.0
21.0
21.5
22.0
22.5
23.5
23.5
24.0
24.0
24.5
24.5
25.0
25.5
28.0
30.0
30.5
31.5
31.5
32.0
33.5
35.0
35.5
37.5
38.0
39.0
40.0
41.0
42.5
44.5
47.0
47.5
50.0
50.5
52.0
54.0
59.5
65.0
66.0
69.5
70.0
72.5
75.0
76.5
80.0
82.5
83.0
83.5
85.5
86.5
102.0
105.5
115.0
122.0
140.0
148.5
159.0
181.0
209.0
209.5
228.0
241.5
242.5
281.0
281.5
286.5
358.0
374.0
379.0
416.5
419.5
1611.5
2880.5
3117.5
3836.5
4080.0
4329.0
5977.0
