frame_index,median_absdiff_roi,mean_absdiff_roi,p95_absdiff_roi
0,1.0,1.7757484529185483,9.0
3894,1.0,0.8098009700618832,3.0
7788,1.0,0.9172436862351564,3.0
11682,0.0,0.6583542398394381,2.0
15576,1.0,0.7417628365947483,2.0
19470,0.0,0.5749456430841278,2.0
23364,0.0,0.6801304565980933,2.0
27258,1.0,1.466516139822713,4.0
31152,0.0,0.6387522997156715,2.0
35046,0.0,0.6130289346044488,2.0
38940,0.0,0.605151363104198,2.0
42834,0.0,0.6249205552768021,2.0
46728,0.0,0.6052684395383844,2.0
50622,0.0,0.5934437196855662,2.0
54516,0.0,0.6416624853654457,2.0
58410,1.0,0.7059708981435022,2.0
62305,1.0,0.7202876735240007,2.0
66199,0.0,0.694848636895802,2.0
70093,1.0,0.7597591570496739,3.0
73987,0.0,0.6976584713162737,2.0
77881,0.0,0.6745944137815688,2.0
81775,0.0,0.6787589897976251,2.0
85669,0.0,0.659892958688744,2.0
89563,0.0,0.6182639237330657,2.0
93457,0.0,0.6306071249372804,2.0
97351,0.0,0.6107877571500251,2.0
101245,0.0,0.6344539220605453,2.0
105139,0.0,0.6184980766014384,2.0
109033,0.0,0.6598427830740926,2.0
112927,0.0,0.69372804816859,3.0
116821,0.0,0.6453922060545242,2.0
120715,0.0,0.6969058370965044,2.0
124610,0.0,0.6091152366616491,2.0
128504,0.0,0.6140826225121258,2.0
132398,0.0,0.644154540893126,2.0
136292,0.0,0.5954674694765011,2.0
140186,0.0,0.6047165077772203,2.0
144080,0.0,0.6125439036628199,2.0
147974,0.0,0.6466967720354574,2.0
151868,0.0,0.5933935440709148,2.0
155762,0.0,0.631543736410771,2.0
159656,0.0,0.5950827897641746,2.0
163550,0.0,0.6410603779896303,2.0
167444,0.0,0.6080949991637398,2.0
171338,0.0,0.6455761833082455,2.0
175232,0.0,0.6197524669677204,2.0
179126,0.0,0.6196186653286503,2.0
183021,1.0,5.0402575681552095,34.0
