metric,value
mean_absdiff_roi,0.7847529053688049
std_absdiff_roi,2.0140557289123535
p50_absdiff_roi,0.0
p90_absdiff_roi,2.0
p95_absdiff_roi,3.0
p99_absdiff_roi,5.0
median_of_frame_mean_absdiff,0.6413614153862
median_of_frame_p95_absdiff,2.0
global_shift_mean,0.23726876576741537
global_shift_std,1.3600955446837513
median_stability_std,0.6537100076675415
