bg_mean_roi,burst_suppressed,candidates_after_area,candidates_after_roi,candidates_after_valid_mask,contour_count,contours_dropped_area,detections_final,dets_after_detection,discard_reason,dropped_roi,dropped_valid_mask,extract_stage,fg_pixels_after_morph,fg_pixels_after_threshold,fg_pixels_final,fg_ratio,frame,frame_mean_roi,global_intensity_shift,max_absdiff_roi,mean_absdiff_roi,threshold_applied,time_sec
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,0,60.15768260026024,0.11877657535201536,12.0,0.8852039186300479,24.0,0.0
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,1,60.16747336655978,0.1285673416515607,12.0,0.8728253229703983,24.0,0.0333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,2,60.171707996421766,0.132801971513544,14.0,0.866136466610902,24.0,0.0667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,3,60.17510906059761,0.13620303568939107,15.0,0.8617885647567266,24.0,0.1
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,4,60.18356016775873,0.1446541428505057,12.0,0.8634448045912915,24.0,0.1333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,5,60.22213073330545,0.18322470839722627,11.0,0.878254391468005,24.0,0.1667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,6,60.247301803057766,0.20839577814954424,13.0,0.8843115386402713,24.0,0.2
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,7,60.231020406385056,0.19211438147683424,12.0,0.8824737731771922,24.0,0.2333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,8,60.22481731260746,0.18591128769924126,13.0,0.8718414540638505,24.0,0.2667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,9,60.215203715321344,0.17629769041312215,13.0,0.8633039407035643,24.0,0.3
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,10,60.20834930758864,0.16944328268041886,9.0,0.8560516287931595,24.0,0.3333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,11,60.206090402667414,0.1671843777591917,10.0,0.8474654665644314,24.0,0.3667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,12,60.20170256517496,0.16279654026673995,10.0,0.8429875923602398,24.0,0.4
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,13,60.19058012686463,0.1516741019564094,11.0,0.8435539523212046,24.0,0.4333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,14,60.199292630930806,0.16038660602258403,15.0,0.8417612052139969,24.0,0.4667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,15,60.20523505390585,0.16632902899763025,15.0,0.8380624390073889,24.0,0.5
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,16,60.20879368232725,0.16988765741902512,13.0,0.8361985338538036,24.0,0.5333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,17,60.214278660718435,0.17537263581021278,11.0,0.8338793624239045,24.0,0.5667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,18,60.215286491007944,0.17638046609972236,13.0,0.8296389237418096,24.0,0.6
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,19,60.21299345926855,0.17408743436033092,11.0,0.8277539616153167,24.0,0.6333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,20,60.218155322040985,0.17924929713276327,11.0,0.8261645232120451,24.0,0.6667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,21,60.2127015660579,0.17379554114967988,11.0,0.825934348715089,24.0,0.7
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,22,60.21497571913193,0.1760696942237061,14.0,0.8502820182164599,24.0,0.7333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,23,60.22381529113807,0.1849092662298446,12.0,0.8477784167479901,24.0,0.7667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,24,60.229523909103584,0.19061788419536185,12.0,0.8429730703099586,24.0,0.8
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,25,60.233433245039265,0.19452722013104307,12.0,0.8369783679539012,24.0,0.8333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,26,60.23621349156559,0.19730746665737087,15.0,0.8305588956271203,24.0,0.8667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,27,60.243459994655886,0.20455396974766415,13.0,0.8246629432129746,24.0,0.9
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,28,60.24351808285701,0.20461205794878623,12.0,0.8235810504670291,24.0,0.9333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,29,60.235875127794046,0.1969691028858236,12.0,0.8215987906036526,24.0,0.9667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,30,60.23446068009666,0.19555465518843818,14.0,0.8193275419396812,24.0,1.0
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,31,60.23135078302895,0.19244475812072892,14.0,0.8186980110599935,24.0,1.0333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,32,60.223620695664295,0.1847146707560725,14.0,0.8137532529392629,24.0,1.0667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,33,60.227355040894096,0.18844901598587427,10.0,0.8155038861006553,24.0,1.1
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,34,60.2259558413495,0.18704981644128083,12.0,0.8157616524931456,24.0,1.1333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,35,60.226265887123006,0.18735986221478385,12.0,0.8203382766392491,24.0,1.1667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,36,60.23199846647149,0.193092441563266,11.0,0.8225318323342162,24.0,1.2
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,37,60.229123826618334,0.19021780171011216,11.0,0.8466449707235466,24.0,1.2333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,38,60.21920018355871,0.18029415865049003,14.0,0.8440433454156792,24.0,1.2667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,39,60.21442315511873,0.1755171302105083,11.0,0.8369239102653468,24.0,1.3
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,40,60.21535837515684,0.17645235024861705,12.0,0.8319413948138854,24.0,1.3333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,41,60.22361924345927,0.18471321855104605,12.0,0.8330995283238068,24.0,1.3667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,42,60.22660425089456,0.18769822598633823,11.0,0.8279957537524978,24.0,1.4
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,43,60.24100431595334,0.20209829104511812,12.0,0.8283646138296389,24.0,1.4333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,44,60.252374355220965,0.21346833031274315,14.0,0.8299380779776012,24.0,1.4667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,45,60.25745199010177,0.21854596519354885,11.0,0.8249809761141317,24.0,1.5
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,46,60.25222042148799,0.21331439657976858,13.0,0.8245184488126772,24.0,1.5333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,47,60.24537617919048,0.20647015428225757,19.0,0.8189303638644918,24.0,1.5667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,48,60.240774141456384,0.2018681165481624,16.0,0.8174287838654213,24.0,1.6
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,49,60.246883568009665,0.20797754310144256,15.0,0.8204755100144059,24.0,1.6333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,50,60.23129995585297,0.19239393094474622,14.0,0.8114965263255728,24.0,1.6667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,51,60.23208487267066,0.19317884776243943,12.0,0.8106346426413866,24.0,1.7
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,52,60.221046662251965,0.18214063734374264,15.0,0.8401478054277615,24.0,1.7333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,53,60.227063147683445,0.18815712277522323,12.0,0.838001446396208,24.0,1.7667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,54,60.22522610832288,0.18632008341465678,10.0,0.838293339606859,24.0,1.8
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,55,60.22174662507552,0.18284060016729597,13.0,0.8296977380454482,24.0,1.8333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,56,60.22162609205818,0.18272006714995825,11.0,0.8253411229611042,24.0,1.8667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,57,60.227266456387376,0.18836043147915404,12.0,0.8217933860774199,24.0,1.9
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,58,60.225597146707564,0.18669112179934189,12.0,0.8151851270969841,24.0,1.9333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,59,60.21575047051443,0.17684444560620705,12.0,0.8146993645150797,24.0,1.9667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,60,60.21751707793113,0.17861105302290525,12.0,0.8114732910451229,24.0,2.0
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,61,60.22067780217482,0.1817717772665972,11.0,0.8127505053673498,24.0,2.0333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,62,60.21907747223384,0.18017144732561974,11.0,0.8101147532413217,24.0,2.0667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,63,60.220714833403036,0.1818088084948144,11.0,0.8141453482968539,24.0,2.1
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,64,60.21332456201496,0.17441853710673882,12.0,0.8168086923184162,24.0,2.1333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,65,60.20695156024908,0.16804553534085898,11.0,0.8165204296203356,24.0,2.1667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,66,60.211395307635115,0.17248928272689312,11.0,0.8117891456387378,24.0,2.2
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,67,60.190806670849014,0.1519006459407919,14.0,0.8438850550676147,24.0,2.2333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,68,60.19614570263488,0.1572396777266576,12.0,0.8371257667642549,24.0,2.2667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,69,60.1965029450718,0.15759692016357718,12.0,0.8329956956642967,24.0,2.3
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,70,60.199719579209074,0.16081355430085154,14.0,0.8204689750917794,24.0,2.3333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,71,60.19560983897951,0.1567038140712853,9.0,0.8157478565453785,24.0,2.3667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,72,60.20032732701334,0.1614213021051185,11.0,0.8125755146614619,24.0,2.4
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,73,60.19486340559506,0.15595738068683573,10.0,0.8106143117709931,24.0,2.4333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,74,60.197429451879735,0.158523426971513,10.0,0.8089951031646452,24.0,2.4667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,75,60.1965029450718,0.15759692016357718,10.0,0.8013216517960872,24.0,2.5
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,76,60.20500342720386,0.16609740229564096,14.0,0.8027019726753102,24.0,2.5333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,77,60.20147892560063,0.16257290069241037,15.0,0.8020702634880803,24.0,2.5667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,78,60.198220903620054,0.15931487871183236,13.0,0.805611465449138,24.0,2.6
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,79,60.19170413355639,0.15279810864817023,12.0,0.8010188670477253,24.0,2.6333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,80,60.19574707235466,0.15684104744644145,13.0,0.8034789023653516,24.0,2.6667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,81,60.18625836470096,0.14735233979273943,15.0,0.8004118453459733,24.0,2.7
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,82,60.1932696105767,0.1543635856684773,15.0,0.8386135508155583,24.0,2.7333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,83,60.20310249082206,0.16419646591383952,14.0,0.8431865444490915,24.0,2.7667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,84,60.19772570170547,0.1588196767972505,14.0,0.8400853606115526,24.0,2.8
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,85,60.20485675449603,0.16595072958780577,14.0,0.8356931665040197,24.0,2.8333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,86,60.199367419489754,0.16046139458153164,11.0,0.8295953575909661,24.0,2.8667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,87,60.19875604117291,0.15985001626469142,16.0,0.8230008945582973,24.0,2.9
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,88,60.20544126701984,0.16653524211162107,14.0,0.8224207386495656,24.0,2.9333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,89,60.20428313350992,0.16537710860169597,13.0,0.8195039848505972,24.0,2.9667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,90,60.19445388377713,0.15554785886890699,10.0,0.8153281692922534,24.0,3.0
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,91,60.18607538686742,0.14716936195920027,11.0,0.8121427575630837,24.0,3.0333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,92,60.17597021817928,0.13706419327105834,12.0,0.811259090803476,24.0,3.0667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,93,60.189424897764766,0.1505188728565443,11.0,0.8123133916538873,24.0,3.1
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,94,60.20382859333612,0.16492256842789743,10.0,0.8097103141409917,24.0,3.1333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,95,60.20567942864445,0.1667734037362294,12.0,0.806206869510665,24.0,3.1667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,96,60.20765297527766,0.16874695036943876,11.0,0.808042456666202,24.0,3.2
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,97,60.21855322621869,0.1796472013104662,15.0,0.8509609240671034,24.0,3.2333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,98,60.21927134160509,0.1803653166968715,15.0,0.8483897950648265,24.0,3.2667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,99,60.216453337748035,0.1775473128398133,13.0,0.8373406931084159,24.0,3.3
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,100,60.21727383358892,0.17836780868069724,11.0,0.8351159150053441,24.0,3.3333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,101,60.21770296017473,0.17879693526650442,11.0,0.8346853362145081,24.0,3.3667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,102,60.22034161671081,0.1814355918025896,13.0,0.8313641433152098,24.0,3.4
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,103,60.23320670105488,0.19430067614666058,13.0,0.8301864050374088,24.0,3.4333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,104,60.234152086528184,0.1952460616199616,12.0,0.8266923997397648,24.0,3.4667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,105,60.24115607137878,0.2022500464705601,10.0,0.8210418699753707,24.0,3.5
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,106,60.24274405757703,0.20383803266880562,12.0,0.8164550803940703,24.0,3.5333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,107,60.23739994307356,0.19849391816534023,11.0,0.8108205248849853,24.0,3.5667
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,108,60.22691357056555,0.18800754565732802,12.0,0.8099651761234258,24.0,3.6
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,109,60.22155856452437,0.18265253961615002,17.0,0.8094460128258748,24.0,3.6333
60.03890602490822,False,0,0,0,0,,,0,zero_foreground_after_morph,,,,0,0,,0.0,110,60.21967868511548,0.18077266020726057,15.0,0.8090865920814164,24.0,3.6667
