video_id,track_id,frame,time_sec,x,y,vx,vy,bbox_x1,bbox_y1,bbox_x2,bbox_y2,area
retallat,16,3777,125.9,787.0,650.5,0.0,0.0,781,646,793,655,68.0
retallat,16,3779,125.96666666666667,872.0,611.5,765.0,-351.0,863,602,881,621,98.0
retallat,16,3780,126.0,910.5,594.0,999.0,-455.4,903,582,918,606,164.0
retallat,16,3781,126.03333333333333,966.5,521.5,1407.6,-1487.16,959,515,974,528,108.5
retallat,16,3782,126.06666666666666,967.5,501.0,581.04,-963.864,953,477,982,525,524.5
retallat,16,3783,126.1,1001.5,479.0,844.4159999999999,-781.5456,993,456,1010,502,511.0
