metric,value
mean_absdiff_roi,0.9543255567550659
std_absdiff_roi,1.4610438346862793
p50_absdiff_roi,1.0
p90_absdiff_roi,2.0
p95_absdiff_roi,2.0
p99_absdiff_roi,3.0
median_of_frame_mean_absdiff,0.898229718208313
median_of_frame_p95_absdiff,2.0
global_shift_mean,0.02631092071533203
global_shift_std,0.036198838778117456
median_stability_std,0.19794701039791107
