video_id,track_id,time_start_sec,time_end_sec,duration_sec,frame_start,frame_end,num_detections,x_start,y_start,x_end,y_end,displacement_px,path_length_px,straightness,mean_speed_px_sec,mean_area,start_in_valid_region,end_in_valid_region,direction
DSCF0005,22,21.4,21.8667,0.4667,642,656,15,542.5,750.7,1084.6,762.1,542.22,568.8,0.9533,1218.86,1715.07,True,True,inside
DSCF0005,27,23.4,23.7333,0.3333,702,712,19,651.6,744.6,997.6,599.6,375.15,425.08,0.8826,1275.24,1052.16,True,False,exits
DSCF0005,30,23.6,23.8667,0.2667,708,716,8,916.4,622.2,1108.2,733.9,221.96,241.47,0.9192,905.52,697.62,True,True,inside
DSCF0005,34,28.9,29.4667,0.5667,867,884,29,677.7,733.5,1364.2,53.3,966.41,1012.7,0.9543,1787.11,697.22,True,False,exits
DSCF0005,71,115.5667,115.7667,0.2,3467,3473,7,1198.8,194.1,1076.3,710.3,530.54,531.35,0.9985,2656.73,269.0,False,True,enters
DSCF0005,91,116.7,116.9333,0.2333,3501,3508,8,1434.0,175.9,977.0,742.4,727.85,729.38,0.9979,3125.92,1223.81,False,True,enters
DSCF0005,105,123.6333,124.0,0.3667,3709,3720,16,675.7,766.0,1197.7,733.8,522.99,558.78,0.936,1523.94,2361.38,True,True,inside
DSCF0005,108,124.3,124.4667,0.1667,3729,3734,6,567.2,765.2,790.7,769.3,223.54,224.17,0.9972,1345.01,2782.42,True,True,inside
DSCF0005,119,193.7667,194.2,0.4333,5813,5826,24,767.3,742.8,1227.3,722.3,460.46,604.04,0.7623,1393.93,1734.85,True,False,exits
DSCF0005,126,197.7,198.1667,0.4667,5931,5945,25,913.1,754.1,1244.2,758.0,331.12,507.52,0.6524,1087.55,1129.42,True,True,inside
DSCF0005,135,203.1,203.2667,0.1667,6093,6098,6,823.3,747.9,999.4,513.9,292.86,293.52,0.9978,1761.11,1354.58,True,False,exits
DSCF0005,194,344.5333,344.9,0.3667,10336,10347,12,550.5,760.9,1023.3,755.7,472.83,490.69,0.9636,1338.25,3598.29,True,True,inside
DSCF0005,196,345.0667,345.4,0.3333,10352,10362,11,521.7,774.3,883.0,761.8,361.52,367.33,0.9842,1102.0,2260.95,True,True,inside
DSCF0005,197,347.0,347.3,0.3,10410,10419,10,612.4,766.1,961.6,595.6,388.6,389.25,0.9983,1297.49,3253.15,True,False,exits
DSCF0005,198,347.1667,347.5,0.3333,10415,10425,9,816.8,646.7,1147.4,753.8,347.52,365.6,0.9505,1096.81,634.56,True,True,inside
DSCF0005,201,347.5667,348.0333,0.4667,10427,10441,15,597.7,765.3,1008.5,756.2,410.9,446.4,0.9205,956.58,2338.93,True,True,inside
DSCF0005,204,354.9667,355.4333,0.4667,10649,10663,26,591.0,750.8,1133.6,699.4,545.03,653.85,0.8336,1401.11,1889.37,True,False,exits
DSCF0005,209,355.2,355.4333,0.2333,10656,10663,8,904.3,581.1,1165.8,729.1,300.48,302.72,0.9926,1297.36,923.69,True,True,inside
