area_px
0.0
0.0
0.0
1.0
7.0
9.0
9.5
14.0
16.5
20.0
37.0
40.5
56.5
75.0
85.0
107.5
123.5
148.0
206.0
210.5
236.0
268.5
280.0
305.5
330.0
345.5
399.5
406.5
416.5
535.0
714.5
921.0
1062.5
1272.0
1554.0
1920.0
2242.5
2616.5
