frame_index,median_absdiff_roi,mean_absdiff_roi,p95_absdiff_roi
0,1.0,1.1876817459603681,3.0
31,1.0,0.9031987289024792,2.0
63,1.0,0.9472524507599605,2.0
95,1.0,0.8832478939952634,2.0
127,1.0,0.9061516323410379,2.0
159,1.0,2.1269448691429087,5.0
191,1.0,0.8540935935485805,2.0
223,1.0,0.8996762298767875,2.0
255,1.0,0.9071259405821867,2.0
287,1.0,0.8822436070390023,2.0
319,1.0,0.8797853523997962,2.0
351,1.0,0.9164343316245466,2.0
383,1.0,0.8612884851755254,2.0
415,1.0,0.8753934706358486,2.0
447,1.0,0.9321881464160446,2.0
479,1.0,0.8680336960757862,2.0
510,1.0,0.8880594777707828,2.0
542,1.0,0.9411218035195011,2.0
574,1.0,0.89020295590131,2.0
606,1.0,0.8641514524687471,2.0
638,1.0,0.9341967203285667,2.0
670,1.0,0.9811283988368259,2.0
702,1.0,0.8967832838684534,2.0
734,1.0,0.9364751026770992,2.0
766,1.0,0.8727253649908565,2.0
798,1.0,0.8894235093083911,2.0
830,1.0,0.9442845579638457,2.0
862,1.0,0.8658902179452589,2.0
894,1.0,0.8594897622687891,2.0
926,1.0,0.9660491051353539,2.0
958,1.0,0.852819498156309,2.0
990,1.0,0.8830380429894775,2.0
1021,1.0,0.9669784453038343,2.0
1053,1.0,0.8786161825104176,2.0
1085,1.0,0.8938303804298948,2.0
1117,1.0,0.9662139880684714,2.0
1149,1.0,0.8691578978924963,2.0
1181,1.0,1.339508948646461,3.0
1213,1.0,0.9660640944929101,2.0
1245,1.0,0.8715861738165902,2.0
1277,1.0,0.8860958719309291,2.0
1309,1.0,0.9703210720388524,2.0
1341,1.0,0.8830680217045898,2.0
1373,1.0,0.9285307431723476,2.0
1405,1.0,0.9692268489372545,2.0
1437,1.0,0.8840273405881824,2.0
1469,1.0,0.9141859279911263,2.0
1501,1.0,1.323635218994514,3.0
